datetime,portfolio_value,cash,return
2026-01-02 09:30:00-05:00,100000.0,100000.0,
2026-01-03 09:30:00-05:00,100000.0,100000.0,0.0
2026-01-05 09:30:00-05:00,100000.0,100000.0,0.0
2026-01-06 09:30:00-05:00,100000.0,100000.0,0.0
2026-01-07 09:30:00-05:00,100000.0,100000.0,0.0
2026-01-08 09:30:00-05:00,100000.0,100000.0,0.0
2026-01-09 09:30:00-05:00,100000.0,100000.0,0.0
2026-01-10 09:30:00-05:00,100000.0,100000.0,0.0
2026-01-12 09:30:00-05:00,100000.0,100000.0,0.0
2026-01-13 09:30:00-05:00,100000.0,100000.0,0.0
2026-01-14 09:30:00-05:00,100000.0,100000.0,0.0
2026-01-15 09:30:00-05:00,100000.0,100000.0,0.0
2026-01-16 09:30:00-05:00,100000.0,100000.0,0.0
2026-01-17 09:30:00-05:00,100000.0,100000.0,0.0
2026-01-20 09:30:00-05:00,100000.0,100000.0,0.0
2026-01-21 09:30:00-05:00,100000.0,100000.0,0.0
2026-01-22 09:30:00-05:00,100000.0,100000.0,0.0
2026-01-23 09:30:00-05:00,100000.0,100000.0,0.0
2026-01-24 09:30:00-05:00,100000.0,100000.0,0.0
2026-01-26 09:30:00-05:00,100000.0,100000.0,0.0
2026-01-27 09:30:00-05:00,100000.0,100000.0,0.0
2026-01-28 09:30:00-05:00,100000.0,100000.0,0.0
2026-01-29 09:30:00-05:00,100000.0,100000.0,0.0
2026-01-30 09:30:00-05:00,99450.01000000001,49948.0,-0.005499899999999891
2026-01-31 09:30:00-05:00,100176.54000000001,49948.0,0.007305479406185977
2026-02-02 09:30:00-05:00,100393.81999999999,49948.0,0.002168970898775102
2026-02-03 09:30:00-05:00,102172.79999999999,49948.0,0.017720015036782
2026-02-04 09:30:00-05:00,102771.29000000001,49948.0,0.0058576255128568455
2026-02-05 09:30:00-05:00,103905.22,49948.0,0.011033528916490232
2026-02-06 09:30:00-05:00,103709.28,49948.0,-0.0018857570389629874
2026-02-07 09:30:00-05:00,103701.53940000001,49948.0,-7.463748663560921e-05
2026-02-09 09:30:00-05:00,103861.56999999999,49948.0,0.0015431844206545975
2026-02-10 09:30:00-05:00,103275.69,49948.0,-0.005640969994965328
2026-02-11 09:30:00-05:00,103238.83,49948.0,-0.00035690877494987117
2026-02-12 09:30:00-05:00,103412.45999999999,49948.0,0.0016818284360640146
2026-02-13 09:30:00-05:00,100777.94,49948.0,-0.025475846914385314
2026-02-14 09:30:00-05:00,99477.69380000001,49948.0,-0.01290209146962118
2026-02-17 09:30:00-05:00,100009.70000000001,49948.0,0.0053479949089854095
2026-02-18 09:30:00-05:00,101086.4,49948.0,0.01076595570229677
2026-02-19 09:30:00-05:00,100892.4,49948.0,-0.0019191503505912033
2026-02-20 09:30:00-05:00,100188.18000000001,49948.0,-0.006979911271810191
2026-02-21 09:30:00-05:00,101241.6,49948.0,0.010514413975780457
2026-02-23 09:30:00-05:00,101065.06,49948.0,-0.0017437496049055312
2026-02-24 09:30:00-05:00,101912.84,49948.0,0.008388457890392553
2026-02-25 09:30:00-05:00,102673.31999999999,49948.0,0.0074620626802275325
2026-02-26 09:30:00-05:00,103287.33,49948.0,0.00598022933319009
2026-02-27 09:30:00-05:00,102873.14,49948.0,-0.004010075582358441
2026-02-28 09:30:00-05:00,101067.0,49948.0,-0.01755696384887251
2026-03-02 09:30:00-05:00,100855.54000000001,49948.0,-0.0020922754212551187
2026-03-03 09:30:00-05:00,101063.12,49948.0,0.0020581913497264015
2026-03-04 09:30:00-05:00,101290.1,49948.0,0.0022459231418940906
2026-03-05 09:30:00-05:00,100541.26000000001,49948.0,-0.007393022615240774
2026-03-06 09:30:00-05:00,100122.22,49948.0,-0.004167841143029372
2026-03-07 09:30:00-05:00,99806.0,49948.0,-0.003158339877002314
2026-03-09 09:30:00-04:00,99551.86,49948.0,-0.0025463398994048925
2026-03-10 09:30:00-04:00,99931.13,49948.0,0.003809773117247728
2026-03-11 09:30:00-04:00,100599.45999999999,49948.0,0.006687905960835128
2026-03-12 09:30:00-04:00,100128.04000000001,49948.0,-0.004686108653068177
2026-03-13 09:30:00-04:00,99511.12,49948.0,-0.006161311057322316
2026-03-14 09:30:00-04:00,98426.66,49948.0,-0.010897877543735723
2026-03-16 09:30:00-04:00,98856.37,49948.0,0.004365788699931317
